,date,weather situation,mixtem,maxtem,wind
28,2017年08月29日深圳天气预报,多云/多云,26℃,33℃,"无持续风向 ≤3级
                                        "
29,2017年08月30日深圳天气预报,多云/多云,28℃,34℃,"无持续风向 ≤3级
                                        "
30,2017年08月31日深圳天气预报,多云/多云,28℃,34℃,"无持续风向 ≤3级
                                        "
0,2017年09月01日深圳天气预报,多云/多云,26℃,33℃,"无持续风向 ≤3级
                                        "
1,2017年09月02日深圳天气预报,阵雨/阵雨,26℃,32℃,"无持续风向 ≤3级
                                        "
2,2017年09月03日深圳天气预报,大雨/大到暴雨,26℃,30℃,"无持续风向 ≤3级
                                        "
3,2017年09月04日深圳天气预报,大雨/阵雨,26℃,29℃,"无持续风向 ≤3级
                                        "
4,2017年09月05日深圳天气预报,中雨/阵雨,27℃,32℃,"无持续风向 ≤3级
                                        "
5,2017年09月06日深圳天气预报,雷阵雨/雷阵雨,27℃,32℃,"无持续风向 ≤3级
                                        "
6,2017年09月07日深圳天气预报,小到中雨/雷阵雨,26℃,32℃,"无持续风向 ≤3级
                                        "
7,2017年09月08日深圳天气预报,阵雨/多云,27℃,32℃,"无持续风向 ≤3级
                                        "
8,2017年09月09日深圳天气预报,多云/多云,27℃,32℃,"无持续风向 ≤3级
                                        "
9,2017年09月10日深圳天气预报,多云/多云,26℃,32℃,"无持续风向 ≤3级
                                        "
10,2017年09月11日深圳天气预报,多云/多云,27℃,33℃,"无持续风向 ≤3级
                                        "
11,2017年09月12日深圳天气预报,多云/多云,27℃,34℃,"无持续风向 ≤3级
                                        "
12,2017年09月13日深圳天气预报,多云/多云,27℃,34℃,"无持续风向 ≤3级
                                        "
13,2017年09月14日深圳天气预报,雷阵雨/雷阵雨,26℃,34℃,"无持续风向 ≤3级
                                        "
14,2017年09月15日深圳天气预报,多云/多云,26℃,32℃,"无持续风向 ≤3级
                                        "
15,2017年09月16日深圳天气预报,多云/多云,28℃,34℃,"无持续风向 ≤3级
                                        "
16,2017年09月17日深圳天气预报,多云/多云,28℃,34℃,"无持续风向 ≤3级
                                        "
17,2017年09月18日深圳天气预报,多云/多云,27℃,34℃,"无持续风向 ≤3级
                                        "
18,2017年09月19日深圳天气预报,多云/多云,27℃,33℃,"无持续风向 ≤3级
                                        "
19,2017年09月20日深圳天气预报,阵雨/多云,26℃,32℃,"无持续风向 ≤3级
                                        "
20,2017年09月21日深圳天气预报,阵雨/阵雨,27℃,32℃,"无持续风向 ≤3级
                                        "
21,2017年09月22日深圳天气预报,阵雨/阵雨,26℃,31℃,"无持续风向 ≤3级
                                        "
22,2017年09月23日深圳天气预报,阵雨/阵雨,27℃,32℃,"无持续风向 ≤3级
                                        "
23,2017年09月24日深圳天气预报,阵雨/阵雨,26℃,32℃,"东风 3-4级
                                        "
24,2017年09月25日深圳天气预报,小雨/多云,27℃,32℃,"无持续风向 ≤3级
                                        "
25,2017年09月26日深圳天气预报,晴/晴,27℃,33℃,"无持续风向 ≤3级
                                        "
26,2017年09月27日深圳天气预报,多云/多云,27℃,34℃,"无持续风向 ≤3级
                                        "
27,2017年09月28日深圳天气预报,多云/多云,28℃,34℃,"无持续风向 ≤3级
                                        "
28,2017年09月29日深圳天气预报,多云/多云,26℃,32℃,"无持续风向 ≤3级
                                        "
29,2017年09月30日深圳天气预报,雷阵雨/雷阵雨,26℃,31℃,"无持续风向 ≤3级
                                        "
0,2017年10月01日深圳天气预报,中雨/阵雨,27℃,32℃,"无持续风向 ≤3级
                                        "
1,2017年10月02日深圳天气预报,阵雨/多云,27℃,32℃,"无持续风向 ≤3级
                                        "
2,2017年10月03日深圳天气预报,多云/阵雨,26℃,33℃,"无持续风向 ≤3级
                                        "
3,2017年10月04日深圳天气预报,阵雨/多云,26℃,32℃,"无持续风向 ≤3级
                                        "
4,2017年10月05日深圳天气预报,多云/多云,27℃,31℃,"无持续风向 ≤3级
                                        "
5,2017年10月06日深圳天气预报,多云/多云,27℃,32℃,"无持续风向 ≤3级
                                        "
6,2017年10月07日深圳天气预报,多云/多云,27℃,33℃,"无持续风向 ≤3级
                                        "
7,2017年10月08日深圳天气预报,多云/多云,27℃,32℃,"无持续风向 ≤3级
                                        "
8,2017年10月09日深圳天气预报,多云/多云,28℃,31℃,"无持续风向 ≤3级
                                        "
9,2017年10月10日深圳天气预报,多云/多云,27℃,34℃,"无持续风向 ≤3级
                                        "
10,2017年10月11日深圳天气预报,多云/多云,28℃,33℃,"无持续风向 ≤3级
                                        "
11,2017年10月12日深圳天气预报,多云/多云,24℃,33℃,"无持续风向 ≤3级
                                        "
12,2017年10月13日深圳天气预报,多云/多云,23℃,31℃,"东北风 3-4级
                                        "
13,2017年10月14日深圳天气预报,多云/阵雨,22℃,28℃,"东北风 3-4级
                                        "
14,2017年10月15日深圳天气预报,大雨/大雨,19℃,23℃,"东北风 4-5级
                                        "
15,2017年10月16日深圳天气预报,中到大雨/小雨,22℃,27℃,"无持续风向 ≤3级
                                        "
16,2017年10月17日深圳天气预报,多云/多云,21℃,28℃,"无持续风向 ≤3级
                                        "
17,2017年10月18日深圳天气预报,多云/多云,23℃,29℃,"无持续风向 ≤3级
                                        "
18,2017年10月19日深圳天气预报,多云/晴,23℃,29℃,"无持续风向 ≤3级
                                        "
19,2017年10月20日深圳天气预报,多云/多云,22℃,28℃,"无持续风向 ≤3级
                                        "
20,2017年10月21日深圳天气预报,多云/多云,21℃,28℃,"无持续风向 ≤3级
                                        "
21,2017年10月22日深圳天气预报,晴/晴,20℃,26℃,"无持续风向 ≤3级
                                        "
22,2017年10月23日深圳天气预报,多云/多云,20℃,26℃,"无持续风向 ≤3级
                                        "
23,2017年10月24日深圳天气预报,多云/多云,21℃,28℃,"无持续风向 ≤3级
                                        "
24,2017年10月25日深圳天气预报,多云/多云,22℃,28℃,"无持续风向 ≤3级
                                        "
25,2017年10月26日深圳天气预报,多云/多云,20℃,28℃,"无持续风向 ≤3级
                                        "
26,2017年10月27日深圳天气预报,多云/多云,21℃,29℃,"无持续风向 ≤3级
                                        "
27,2017年10月28日深圳天气预报,多云/多云,19℃,29℃,"无持续风向 ≤3级
                                        "
28,2017年10月29日深圳天气预报,多云/多云,20℃,27℃,"无持续风向 ≤3级
                                        "
29,2017年10月30日深圳天气预报,多云/多云,18℃,26℃,"无持续风向 ≤3级
                                        "
30,2017年10月31日深圳天气预报,晴/晴,18℃,25℃,"无持续风向 ≤3级
                                        "
0,2017年11月01日深圳天气预报,晴/晴,20℃,28℃,"无持续风向 ≤3级
                                        "
1,2017年11月02日深圳天气预报,晴/晴,20℃,28℃,"无持续风向 ≤3级
                                        "
2,2017年11月03日深圳天气预报,晴/多云,19℃,28℃,"无持续风向 ≤3级
                                        "
3,2017年11月04日深圳天气预报,多云/多云,19℃,25℃,"无持续风向 ≤3级
                                        "
4,2017年11月05日深圳天气预报,多云/多云,20℃,25℃,"无持续风向 ≤3级
                                        "
5,2017年11月06日深圳天气预报,小雨/小雨,20℃,25℃,"无持续风向 ≤3级
                                        "
6,2017年11月07日深圳天气预报,小雨/小雨,20℃,25℃,"无持续风向 ≤3级
                                        "
7,2017年11月08日深圳天气预报,多云/多云,21℃,27℃,"无持续风向 ≤3级
                                        "
8,2017年11月09日深圳天气预报,多云/多云,22℃,27℃,"无持续风向 ≤3级
                                        "
9,2017年11月10日深圳天气预报,多云/多云,22℃,29℃,"无持续风向 ≤3级
                                        "
10,2017年11月11日深圳天气预报,多云/多云,20℃,28℃,"无持续风向 ≤3级
                                        "
11,2017年11月12日深圳天气预报,多云/小雨,20℃,25℃,"无持续风向 ≤3级
                                        "
12,2017年11月13日深圳天气预报,多云/多云,21℃,26℃,"微风 &lt;3级
                                        "
13,2017年11月14日深圳天气预报,多云/多云,21℃,25℃,"无持续风向 &lt;3级
                                        "
14,2017年11月15日深圳天气预报,阴/阴,22℃,26℃,"无持续风向 &lt;3级
                                        "
15,2017年11月16日深圳天气预报,多云/多云,23℃,26℃,"微风 &lt;3级
                                        "
16,2017年11月17日深圳天气预报,多云/小雨,18℃,28℃,"微风 &lt;3级
                                        "
17,2017年11月18日深圳天气预报,阵雨/阵雨,16℃,22℃,"北风 3～4级
                                        "
18,2017年11月19日深圳天气预报,阴/小雨,16℃,20℃,"东北风 3～4级
                                        "
19,2017年11月20日深圳天气预报,阴/阴,14℃,18℃,"无持续风向 &lt;3级
                                        "
20,2017年11月21日深圳天气预报,阴/阴,16℃,20℃,"无持续风向 &lt;3级
                                        "
21,2017年11月22日深圳天气预报,阴/阴,15℃,22℃,"无持续风向 &lt;3级
                                        "
22,2017年11月23日深圳天气预报,多云/阴,14℃,19℃,"微风 &lt;3级
                                        "
23,2017年11月24日深圳天气预报,多云/小雨,13℃,19℃,"微风 &lt;3级
                                        "
24,2017年11月25日深圳天气预报,阵雨/小雨,14℃,18℃,"微风 &lt;3级
                                        "
25,2017年11月26日深圳天气预报,小雨/多云,16℃,18℃,"微风 &lt;3级
                                        "
26,2017年11月27日深圳天气预报,多云/多云,18℃,22℃,"微风 &lt;3级
                                        "
27,2017年11月28日深圳天气预报,多云/多云,20℃,24℃,"无持续风向 &lt;3级
                                        "
28,2017年11月29日深圳天气预报,多云/小雨,18℃,28℃,"微风 &lt;3级
                                        "
29,2017年11月30日深圳天气预报,小雨/阴,17℃,26℃,"微风 &lt;3级
                                        "
0,2017年12月01日深圳天气预报,多云/多云,17℃,24℃,"东北风 3～4级
                                        "
1,2017年12月02日深圳天气预报,多云/多云,16℃,23℃,"无持续风向 &lt;3级
                                        "
2,2017年12月03日深圳天气预报,多云/多云,18℃,25℃,"无持续风向 &lt;3级
                                        "
3,2017年12月04日深圳天气预报,多云/多云,16℃,23℃,"无持续风向 &lt;3级
                                        "
4,2017年12月05日深圳天气预报,多云/多云,14℃,19℃,"无持续风向 &lt;3级
                                        "
5,2017年12月06日深圳天气预报,多云/多云,17℃,22℃,"无持续风向 &lt;3级
                                        "
6,2017年12月07日深圳天气预报,多云/多云,18℃,24℃,"无持续风向 &lt;3级
                                        "
7,2017年12月08日深圳天气预报,多云/多云,13℃,21℃,"北风 3～4级
                                        "
8,2017年12月09日深圳天气预报,多云/多云,12℃,19℃,"无持续风向 &lt;3级
                                        "
9,2017年12月10日深圳天气预报,多云/多云,13℃,21℃,"无持续风向 &lt;3级
                                        "
10,2017年12月11日深圳天气预报,多云/多云,15℃,22℃,"无持续风向 &lt;3级
                                        "
11,2017年12月12日深圳天气预报,多云/多云,16℃,21℃,"无持续风向 &lt;3级
                                        "
12,2017年12月13日深圳天气预报,阴/阴,17℃,21℃,"无持续风向 &lt;3级
                                        "
13,2017年12月14日深圳天气预报,阴/多云,16℃,21℃,"无持续风向 &lt;3级
                                        "
14,2017年12月15日深圳天气预报,多云/多云,14℃,22℃,"微风 &lt;3级
                                        "
15,2017年12月16日深圳天气预报,多云/多云,10℃,17℃,"微风 &lt;3级
                                        "
16,2017年12月17日深圳天气预报,多云/多云,9℃,13℃,"无持续风向 &lt;3级
                                        "
17,2017年12月18日深圳天气预报,多云/多云,9℃,17℃,"北风 4～5级
                                        "
18,2017年12月19日深圳天气预报,晴/多云,9℃,16℃,"北风 3～4级
                                        "
19,2017年12月20日深圳天气预报,多云/多云,11℃,18℃,"无持续风向 &lt;3级
                                        "
20,2017年12月21日深圳天气预报,晴/晴,12℃,19℃,"无持续风向 &lt;3级
                                        "
21,2017年12月22日深圳天气预报,多云/多云,15℃,21℃,"无持续风向 &lt;3级
                                        "
22,2017年12月23日深圳天气预报,多云/多云,16℃,21℃,"无持续风向 &lt;3级
                                        "
23,2017年12月24日深圳天气预报,多云/多云,14℃,23℃,"无持续风向 &lt;3级
                                        "
24,2017年12月25日深圳天气预报,多云/多云,13℃,21℃,"东北风 3～4级
                                        "
25,2017年12月26日深圳天气预报,多云/多云,16℃,22℃,"无持续风向 &lt;3级
                                        "
26,2017年12月27日深圳天气预报,多云/多云,16℃,23℃,"无持续风向 &lt;3级
                                        "
27,2017年12月28日深圳天气预报,多云/多云,15℃,20℃,"无持续风向 &lt;3级
                                        "
28,2017年12月29日深圳天气预报,多云/多云,16℃,24℃,"无持续风向 &lt;3级
                                        "
29,2017年12月30日深圳天气预报,多云/多云,15℃,23℃,"无持续风向 &lt;3级
                                        "
30,2017年12月31日深圳天气预报,多云/多云,15℃,22℃,"东北风 &lt;3级
                                        "
0,2018年01月01日深圳天气预报,多云/多云,14℃,22℃,"无持续风向 &lt;3级
                                        "
1,2018年01月01日深圳天气预报,多云/多云,14℃,22℃,"无持续风向 &lt;3级
                                        "
2,2018年01月02日深圳天气预报,多云/多云,16℃,22℃,"无持续风向 &lt;3级
                                        "
3,2018年01月03日深圳天气预报,多云/小雨,17℃,23℃,"无持续风向 &lt;3级
                                        "
4,2018年01月04日深圳天气预报,多云/多云,17℃,22℃,"无持续风向 &lt;3级
                                        "
5,2018年01月05日深圳天气预报,阴/小雨,16℃,20℃,"无持续风向 &lt;3级
                                        "
6,2018年01月06日深圳天气预报,中雨/小雨-中雨,16℃,17℃,"东风 3～4级
                                        "
7,2018年01月07日深圳天气预报,小雨-中雨/小雨,10℃,16℃,"东风 4～5级
                                        "
8,2018年01月08日深圳天气预报,小雨/小雨,5℃,17℃,"北风 4～5级
                                        "
9,2018年01月09日深圳天气预报,小雨/多云,7℃,9℃,"北风 4～5级
                                        "
10,2018年01月10日深圳天气预报,多云/多云,9℃,12℃,"东北风 3～4级
                                        "
11,2018年01月11日深圳天气预报,多云/多云,8℃,14℃,"无持续风向 &lt;3级
                                        "
12,2018年01月12日深圳天气预报,晴/晴,8℃,16℃,"无持续风向 &lt;3级
                                        "
13,2018年01月13日深圳天气预报,多云/多云,9℃,17℃,"无持续风向 &lt;3级
                                        "
14,2018年01月14日深圳天气预报,多云/多云,12℃,19℃,"无持续风向 &lt;3级
                                        "
15,2018年01月15日深圳天气预报,多云/多云,14℃,20℃,"无持续风向 &lt;3级
                                        "
16,2018年01月16日深圳天气预报,多云/多云,14℃,23℃,"无持续风向 &lt;3级
                                        "
17,2018年01月17日深圳天气预报,多云/多云,14℃,25℃,"无持续风向 &lt;3级
                                        "
18,2018年01月18日深圳天气预报,多云/小雨,15℃,24℃,"无持续风向 &lt;3级
                                        "
19,2018年01月19日深圳天气预报,阴/多云,15℃,20℃,"无持续风向 &lt;3级
                                        "
20,2018年01月20日深圳天气预报,多云/阴,17℃,22℃,"无持续风向 &lt;3级
                                        "
21,2018年01月21日深圳天气预报,多云/阴,18℃,24℃,"微风 &lt;3级
                                        "
22,2018年01月22日深圳天气预报,多云/多云,18℃,24℃,"微风 &lt;3级
                                        "
23,2018年01月23日深圳天气预报,多云/多云,15℃,24℃,"无持续风向 &lt;3级
                                        "
24,2018年01月24日深圳天气预报,多云/阴,16℃,20℃,"微风 &lt;3级
                                        "
25,2018年01月25日深圳天气预报,多云/阴,13℃,22℃,"无持续风向 &lt;3级
                                        "
26,2018年01月26日深圳天气预报,局部多云/局部多云,13℃,23℃,"东北风 3
                                        "
27,2018年01月27日深圳天气预报,小雨/小雨,12℃,16℃,"东风 4～5级
                                        "
28,2018年01月28日深圳天气预报,小雨/小雨,8℃,18℃,"北风 4～5级
                                        "
29,2018年01月29日深圳天气预报,小雨/小雨,9℃,11℃,"无持续风向 &lt;3级
                                        "
30,2018年01月30日深圳天气预报,小雨/小雨,6℃,9℃,"无持续风向 &lt;3级
                                        "
31,2018年01月31日深圳天气预报,阵雨/阴,7℃,10℃,"北风 3～4级
                                        "
0,2018年02月01日深圳天气预报,晴/晴,6℃,15℃,"无持续风向 &lt;3级
                                        "
1,2018年02月02日深圳天气预报,多云/晴,6℃,12℃,"微风 &lt;3级
                                        "
2,2018年02月03日深圳天气预报,多云/多云,5℃,13℃,"无持续风向 &lt;3级
                                        "
3,2018年02月04日深圳天气预报,多云/多云,6℃,15℃,"北风 4～5级
                                        "
4,2018年02月05日深圳天气预报,阴/阴,6℃,11℃,"无持续风向 &lt;3级
                                        "
5,2018年02月06日深圳天气预报,晴/晴,7℃,14℃,"无持续风向 &lt;3级
                                        "
6,2018年02月07日深圳天气预报,多云/多云,10℃,14℃,"无持续风向 &lt;3级
                                        "
7,2018年02月08日深圳天气预报,多云/小雨,13℃,15℃,"微风 &lt;3级
                                        "
8,2018年02月09日深圳天气预报,多云/多云,15℃,18℃,"无持续风向 &lt;3级
                                        "
9,2018年02月10日深圳天气预报,阴/阴,11℃,21℃,"无持续风向 &lt;3级
                                        "
10,2018年02月11日深圳天气预报,多云/多云,11℃,19℃,"北风 3～4级
                                        "
11,2018年02月12日深圳天气预报,晴/晴,11℃,19℃,"无持续风向 &lt;3级
                                        "
12,2018年02月13日深圳天气预报,晴/多云,13℃,21℃,"无持续风向 &lt;3级
                                        "
13,2018年02月14日深圳天气预报,多云/多云,15℃,22℃,"无持续风向 &lt;3级
                                        "
14,2018年02月15日深圳天气预报,多云/多云,17℃,23℃,"无持续风向 &lt;3级
                                        "
15,2018年02月16日深圳天气预报,多云/小雨,17℃,21℃,"无持续风向 &lt;3级
                                        "
16,2018年02月17日深圳天气预报,多云/多云,16℃,22℃,"微风 &lt;3级
                                        "
17,2018年02月18日深圳天气预报,多云/多云,18℃,23℃,"微风 &lt;3级
                                        "
18,2018年02月19日深圳天气预报,多云/多云,18℃,25℃,"微风 &lt;3级
                                        "
19,2018年02月20日深圳天气预报,多云/多云,18℃,26℃,"无持续风向 &lt;3级
                                        "
20,2018年02月21日深圳天气预报,阴/小雨,17℃,24℃,"无持续风向 &lt;3级
                                        "
21,2018年02月22日深圳天气预报,小雨/多云,12℃,18℃,"无持续风向 &lt;3级
                                        "
22,2018年02月23日深圳天气预报,阴/阴,15℃,18℃,"无持续风向 &lt;3级
                                        "
23,2018年02月24日深圳天气预报,多云/小雨,16℃,21℃,"无持续风向 &lt;3级
                                        "
24,2018年02月25日深圳天气预报,小雨/阴,15℃,22℃,"无持续风向 &lt;3级
                                        "
25,2018年02月26日深圳天气预报,多云/多云,17℃,23℃,"无持续风向 &lt;3级
                                        "
26,2018年02月27日深圳天气预报,多云/阵雨,18℃,24℃,"微风 &lt;3级
                                        "
27,2018年02月28日深圳天气预报,小雨/多云,18℃,25℃,"无持续风向 &lt;3级
                                        "
0,2018年03月01日深圳天气预报,多云/阴,19℃,27℃,"无持续风向 &lt;3级
                                        "
1,2018年03月02日深圳天气预报,多云/多云,21℃,26℃,"无持续风向 &lt;3级
                                        "
2,2018年03月03日深圳天气预报,多云/多云,21℃,27℃,"无持续风向 &lt;3级
                                        "
3,2018年03月04日深圳天气预报,小雨/小雨,21℃,26℃,"无持续风向 &lt;3级
                                        "
4,2018年03月05日深圳天气预报,阵雨/多云,19℃,28℃,"无持续风向 &lt;3级
                                        "
5,2018年03月06日深圳天气预报,多云/阴,17℃,22℃,"东风 3～4级
                                        "
6,2018年03月07日深圳天气预报,阵雨/小雨-中雨,13℃,23℃,"无持续风向 &lt;3级
                                        "
7,2018年03月08日深圳天气预报,雷阵雨/多云,11℃,15℃,"北风 3～4级
                                        "
8,2018年03月09日深圳天气预报,晴/晴,12℃,18℃,"微风 &lt;3级
                                        "
9,2018年03月10日深圳天气预报,少云/晴,15℃,20℃,"东南偏东风 3
                                        "
10,2018年03月11日深圳天气预报,多云/多云,15℃,23℃,"无持续风向 &lt;3级
                                        "
11,2018年03月12日深圳天气预报,多云/多云,18℃,25℃,"微风 &lt;3级
                                        "
12,2018年03月13日深圳天气预报,多云/阵雨,18℃,25℃,"无持续风向 &lt;3级
                                        "
13,2018年03月14日深圳天气预报,阵雨/雷阵雨,20℃,25℃,"微风 &lt;3级
                                        "
14,2018年03月15日深圳天气预报,雷阵雨/雷阵雨,19℃,25℃,"无持续风向 &lt;3级
                                        "
15,2018年03月16日深圳天气预报,多云/多云,18℃,27℃,"无持续风向 &lt;3级
                                        "
16,2018年03月17日深圳天气预报,阴/阴,20℃,26℃,"东风 3～4级
                                        "
17,2018年03月18日深圳天气预报,多云/多云,20℃,26℃,"无持续风向 &lt;3级
                                        "
18,2018年03月19日深圳天气预报,阵雨/雷阵雨,15℃,26℃,"无持续风向 &lt;3级
                                        "
19,2018年03月20日深圳天气预报,多云/多云,12℃,22℃,"北风 3～4级
                                        "
20,2018年03月21日深圳天气预报,晴/晴,14℃,22℃,"无持续风向 &lt;3级
                                        "
21,2018年03月22日深圳天气预报,晴/晴,15℃,23℃,"无持续风向 &lt;3级
                                        "
22,2018年03月23日深圳天气预报,多云/多云,16℃,25℃,"无持续风向 &lt;3级
                                        "
23,2018年03月24日深圳天气预报,多云/多云,19℃,26℃,"无持续风向 &lt;3级
                                        "
24,2018年03月25日深圳天气预报,阵雨/多云,19℃,24℃,"无持续风向 &lt;3级
                                        "
25,2018年03月27日深圳天气预报,多云/多云,20℃,28℃,"无持续风向 &lt;3级
                                        "
26,2018年03月28日深圳天气预报,多云/多云,21℃,27℃,"无持续风向 &lt;3级
                                        "
27,2018年03月29日深圳天气预报,多云/多云,20℃,26℃,"无持续风向 &lt;3级
                                        "
28,2018年03月30日深圳天气预报,多云/多云,20℃,28℃,"无持续风向 &lt;3级
                                        "
29,2018年03月31日深圳天气预报,多云/多云,19℃,27℃,"无持续风向 &lt;3级
                                        "
0,2018年04月01日深圳天气预报,晴/晴,20℃,29℃,"无持续风向 &lt;3级
                                        "
1,2018年04月02日深圳天气预报,多云/多云,21℃,29℃,"无持续风向 &lt;3级
                                        "
2,2018年04月03日深圳天气预报,多云/多云,21℃,29℃,"无持续风向 &lt;3级
                                        "
3,2018年04月04日深圳天气预报,多云/多云,21℃,29℃,"无持续风向 &lt;3级
                                        "
4,2018年04月05日深圳天气预报,多云/多云,22℃,29℃,"无持续风向 &lt;3级
                                        "
5,2018年04月06日深圳天气预报,阵雨/多云,17℃,28℃,"无持续风向 &lt;3级
                                        "
6,2018年04月07日深圳天气预报,多云/多云,15℃,20℃,"无持续风向 &lt;3级
                                        "
7,2018年04月08日深圳天气预报,多云/多云,18℃,25℃,"无持续风向 &lt;3级
                                        "
8,2018年04月09日深圳天气预报,多云/多云,20℃,27℃,"无持续风向 &lt;3级
                                        "
9,2018年04月10日深圳天气预报,多云/多云,21℃,29℃,"无持续风向 &lt;3级
                                        "
10,2018年04月11日深圳天气预报,多云/多云,22℃,30℃,"无持续风向 &lt;3级
                                        "
11,2018年04月12日深圳天气预报,多云/多云,24℃,29℃,"微风 &lt;3级
                                        "
12,2018年04月13日深圳天气预报,多云/多云,25℃,29℃,"无持续风向 &lt;3级
                                        "
13,2018年04月14日深圳天气预报,多云/雷阵雨,19℃,30℃,"微风 &lt;3级
                                        "
14,2018年04月15日深圳天气预报,大雨/多云,19℃,22℃,"无持续风向 &lt;3级
                                        "
15,2018年04月16日深圳天气预报,小雨/小雨,16℃,20℃,"无持续风向 &lt;3级
                                        "
16,2018年04月17日深圳天气预报,阴/多云,20℃,22℃,"微风 &lt;3级
                                        "
17,2018年04月18日深圳天气预报,多云/多云,21℃,26℃,"无持续风向 &lt;3级
                                        "
18,2018年04月19日深圳天气预报,多云/多云,21℃,27℃,"无持续风向 &lt;3级
                                        "
19,2018年04月20日深圳天气预报,雷阵雨/雷阵雨,22℃,27℃,"东风 4～5级
                                        "
20,2018年04月21日深圳天气预报,阴/阴,22℃,28℃,"无持续风向 &lt;3级
                                        "
21,2018年04月22日深圳天气预报,多云/多云,23℃,30℃,"无持续风向 &lt;3级
                                        "
22,2018年04月23日深圳天气预报,雷阵雨/雷阵雨,23℃,30℃,"无持续风向 &lt;3级
                                        "
23,2018年04月24日深圳天气预报,小雨-中雨/雷阵雨,21℃,26℃,"无持续风向 &lt;3级
                                        "
24,2018年04月25日深圳天气预报,多云/多云,23℃,27℃,"无持续风向 &lt;3级
                                        "
25,2018年04月26日深圳天气预报,阴/阴,22℃,27℃,"无持续风向 &lt;3级
                                        "
26,2018年04月27日深圳天气预报,阵雨/阵雨,23℃,27℃,"无持续风向 &lt;3级
                                        "
27,2018年04月28日深圳天气预报,多云/阵雨,24℃,29℃,"微风 &lt;3级
                                        "
28,2018年04月29日深圳天气预报,阵雨/多云,24℃,29℃,"微风 &lt;3级
                                        "
29,2018年04月30日深圳天气预报,多云/多云,24℃,30℃,"无持续风向 &lt;3级
                                        "
0,2018年05月01日深圳天气预报,多云/多云,25℃,31℃,"无持续风向 &lt;3级
                                        "
1,2018年05月02日深圳天气预报,雷阵雨/雷阵雨,23℃,31℃,"无持续风向 &lt;3级
                                        "
2,2018年05月03日深圳天气预报,阵雨/阵雨,24℃,31℃,"无持续风向 &lt;3级
                                        "
3,2018年05月04日深圳天气预报,雷阵雨/雷阵雨,23℃,28℃,"东风 3～4级
                                        "
4,2018年05月05日深圳天气预报,多云/阴,24℃,29℃,"无持续风向 &lt;3级
                                        "
5,2018年05月06日深圳天气预报,雷阵雨/小雨-中雨,24℃,30℃,"无持续风向 &lt;3级
                                        "
6,2018年05月07日深圳天气预报,中雨/大雨,23℃,30℃,"无持续风向 &lt;3级
                                        "
7,2018年05月08日深圳天气预报,中雨/大雨-暴雨,23℃,27℃,"无持续风向 &lt;3级
                                        "
8,2018年05月09日深圳天气预报,中雨-大雨/小雨-中雨,22℃,27℃,"东风 3～4级
                                        "
9,2018年05月10日深圳天气预报,多云/多云,23℃,27℃,"无持续风向 &lt;3级
                                        "
10,2018年05月11日深圳天气预报,多云/多云,23℃,28℃,"无持续风向 &lt;3级
                                        "
11,2018年05月12日深圳天气预报,多云/多云,24℃,30℃,"无持续风向 &lt;3级
                                        "
12,2018年05月13日深圳天气预报,多云/多云,25℃,32℃,"南风 &lt;3级
                                        "
13,2018年05月14日深圳天气预报,多云/多云,26℃,32℃,"无持续风向 &lt;3级
                                        "
14,2018年05月15日深圳天气预报,多云/多云,26℃,32℃,"无持续风向 &lt;3级
                                        "
15,2018年05月16日深圳天气预报,晴/晴,26℃,32℃,"无持续风向 &lt;3级
                                        "
16,2018年05月17日深圳天气预报,多云/雷阵雨,26℃,32℃,"微风 &lt;3级
                                        "
17,2018年05月18日深圳天气预报,雷阵雨/雷阵雨,26℃,32℃,"无持续风向 &lt;3级
                                        "
18,2018年05月19日深圳天气预报,雷阵雨/雷阵雨,26℃,32℃,"无持续风向 &lt;3级
                                        "
19,2018年05月20日深圳天气预报,雷阵雨/雷阵雨,26℃,32℃,"微风 &lt;3级
                                        "
20,2018年05月21日深圳天气预报,雷阵雨/多云,26℃,32℃,"微风 &lt;3级
                                        "
21,2018年05月22日深圳天气预报,多云/阵雨,26℃,32℃,"微风 &lt;3级
                                        "
22,2018年05月23日深圳天气预报,多云/多云,26℃,34℃,"无持续风向 微风
                                        "
23,2018年05月24日深圳天气预报,晴/晴,27℃,34℃,"无持续风向 1-2级
                                        "
24,2018年05月25日深圳天气预报,晴/晴,27℃,33℃,"无持续风向 1-2级
                                        "
25,2018年05月26日深圳天气预报,多云/多云,27℃,33℃,"无持续风向 1-2级
                                        "
26,2018年05月27日深圳天气预报,晴间多云/多云,28℃,33℃,"无持续风向 1-2级
                                        "
27,2018年05月28日深圳天气预报,多云/多云,27℃,33℃,"无持续风向 &lt;3级
                                        "
28,2018年05月29日深圳天气预报,多云/多云,27℃,34℃,"无持续风向 &lt;3级
                                        "
29,2018年05月30日深圳天气预报,多云/多云,28℃,34℃,"无持续风向 &lt;3级
                                        "
30,2018年05月31日深圳天气预报,多云/多云,28℃,34℃,"无持续风向 1-2级
                                        "
0,2018年06月01日深圳天气预报,雷阵雨/雷阵雨,26℃,33℃,"微风 &lt;3级
                                        "
1,2018年06月02日深圳天气预报,雷阵雨/雷阵雨,26℃,32℃,"微风 &lt;3级
                                        "
2,2018年06月03日深圳天气预报,雷阵雨/雷阵雨,26℃,30℃,"微风 &lt;3级
                                        "
